editDistance,2
averageBracket,4
packageSize,18004
dependencyNumber,0
devDependencyNumber,7
jsFileNumber,3
bracketNumber,12
hasInstallScript,true
containIP,true
useBase64Conversion,true
containBase64String,true
createBufferFromASCII,true
containBytestring,false
containDomain,true
useBufferFrom,false
useEval,false
requireChildProcessInJSFile,true
requireChildProcessInInstallScript,true
accessFSInJSFile,true
accessFSInInstallScript,true
accessNetworkInJSFile,true
accessNetworkInInstallScript,true
accessProcessEnvInJSFile,false
accessProcessEnvInInstallScript,false
containSuspicousString,false
accessCryptoAndZipInJSFile,false
accessSensitiveAPI,false
